Indonesia,Simalungun
abai,tios
abang,abang
abang,nasikaha
abang dari suami,nasikaha
abangdariistri,lawei
abu,abab
abu,abu
abu,silabu
abu,sirabun
abu dapur,abuan
abu(hasilpembakaran),abab
abu-abu,silabu
acak-acakan,magurbang
acar,acar
Aceh,asih
acuh,eas
ada,adong
ada,aong
ada,nadong
ada,targugun
ada kalanya: ongga do ia tartangkap seng dong ia berbuat adakalanya orang yang tidak bersalah juga dihukum,ongga
ada tumpukan,targugun 
adakan,adonghon
adakan,adonghon 
adat,adat
adat,hombar
adik,anggi
adik,botou
adik,nasianggi
aduh,lo
aduk,gaor
aduk,goar
aduk,ugar
agak,antak
agak,tarmelhat
agak,tarparah
agak,tarpinsur
agak,tarpintor
agak,tarrangkah
agak,tarrenges
agak,tartorang
agak,tartoras
agak banyak,undong
agak bau,tarbau 
agak cepat,magirah 
agak demam,malab
agak jauh,tardaoh 
agak kelihatan,ebas
agak kuat,magogoh 
agak mentah,mongkol
agak penuh,targok
agak sempit,tarsompit
agak sempit,tarsosot 
agak susah,tarngalut
agak;   kira-kira,antak
agaknya,agih
agama,ugama
ah,ah
ah,eh
ahli,surat
aib,tursam
air,aek
air,bah
air buah jeruk,sigor
air enau,bak
air kencing anak,osap
air kencing anak- anak,osap
air liur,dehdeh
air liur,liur
air mandi yang berlendir,lindir
air masuk,gojor
air mata,iluh
air tajin,purik
air terjun,sampuran
air yang dituang,gobok
air yang terdapat,tombul
air yang terdapat dalam bambu,tombul
air yang tergenang,hobong
ajak,"mangarahkon 
"
ajal,ajal
ajar,ajar
ajar,pinsang
ajimat,ajimat
akan,anjai
akan,barah
akan,laho
akan,sol
akan (untuk menyatakan sesuatu yang tidak diharapkan),anjai
akan dihukum uhur,uhumon 
akan ditegakkan,padirgakon 
akar,urat
akar yang,tantan
akar yang bergantung,tantan
aksara,hatalingan
aksara batak Simalungun yang bunyinya ei,hatalingan
aksi,odak
aku,ahu
aku / saya,ahu
alas,holam
alas,lapik
alas,ojak
alas,polod
alas kaki,tordou
alasan,lompa
alasan,sidalian
alat,bulugarung
alat,gijig
alat,heserheser
alat,hipas
alat,hipaskipas
alat,pangombun
alat,parampu
alat,parnabung
alat,parsuhur
alat,podalayam
alat,sangkaluat
alat,unggas
alat  tali untuk memanjat pinang kelapa,langgiat
alat (kuas) untuk menghaluskan benang agar tidak berbulu,unggas
alat bertenun,sabang
alat bunyi,rangrung
alat bunyi- bunyian penghalau burung (binatang),rangrung
alat memangku,pangampu
alat menangkap ikan / burung,dopir
alat menjaga burung di ladang yang,hatarpok
alat menyadap,agadi
alat menyiang,kiskis
alat menyiang rumput dipermukaan tanah yang terbuat dari besi dgn bentuk setengah lingkaran dan bergagang,kiskis
alat musik tiup udara bebas,sangkaluat
alat pemintal,parbatu
alat pemintal,uli
alat pemintal benang buat lobei parbatu! ambil dulu alat pemintal benang!,parbatu
alat penghisap rokok (candu),bulugarung
alat pengikat,ihat
alat pengipas,hipaskipas
alat penutup,langkop
alat penutup wadah; tutup,langkop
alat perangkap,pinggil
alat tiup untuk,dongkut
alat tiup untuk memanggil rusa saat berburu,dongkut
alat tulis yang,suligi
alat tulis yang terbuat dari lidi ijuk yang di- runcingkan ujungnya seperti pena (pada suku Batak dahulu ini dipakai untuk menulis di kulit-kulit kayu),suligi
alat untuk bertenun,sabang
alat untuk me- nangkap ikan atau burung,dopir
alat untuk meme,tubar
alat untuk meme- rahkan benang,tubar
alat untuk mencampur sirih,podalayam
alat untuk menggendong,parombah 
alat untuk mengorek,girik
alat untuk mengorek kuping,girik
alat untuk mengusir gelatik,hotor
alat yang,hapkap
alat yang digunakan untuk menyayat,panayat 
alat yang dipakai,tuldak
alat yang dipakai dalam pertenunan,tuldak
"alat yang dipakai untuk mengusir burung di ladang, terbuat dari sepotong bambudibelah-belah, kemudian ditarik-tarik dengan tali hingga menimbulkan bunyi",hapkap
alat yang dipergunakan untuk membuang akar-akar pada ladang yang baru dibuka,dagil
algojo,halak na gogoh 
alim,malim
alir,alir
alirkan,aliri  
alis,salibon
Allah,naibata
alu,andalu
amat,ipong
amat,tomos
amat,tumang
amat lama,lenger
amat tinggi,libos
ambil,abis
ambil,alop
ambil,angkat
ambil,angkit
ambil,buat
ambil,poluk
ambil,putei
ampelas,polas
ampelas (kertas pasir),polas
ampun,ampun
anai,habong
anai,sanei
anak,dakdanak
anak,niombah
anak,ombahan
anak,panogolan
anak- anak,dakdanak
anak ayam,kikit
anak bungsu,aneane
anak dari abang ibu,lawei
anak dari kakak,panogolan
anak hewan,bituha
anak hewan berkaki empat yang baru lahir,bituha
anak laki,anak
anak laki,dalahi
anak laki-laki,anak
anak lasak,runggas
anak lidah,ipit
anak panah,ipoh
anak panah,ipuh
anak panah,lingkit
anak perempuan,boru
anak perempuan,"niombah 
daboru 
"
anak rambut,bunsiak
anak sungai,tulpang
anak sungai tului [tuluy] v singgah,tulpang
anak tanaman,lata
anak tanaman; bibit,lata
anak tiri,anduh
anak tumbuhan,upok
anak tumbuhan yang baru tumbuh dari dalam tanah,upok
anak yang lasak,runggas
anak yang telah,tilaha
anak yang telah meninggal,tilaha
ancam,gombit
ancam,gurindam
ancam,omar
ancam,ondam
ancam; ,gombit
andal,unsagah
angan-angan,nipi
anggap,anggap
anggapan,anggapan
anggota,pagori
anggota,ring
angguk,ondok
anggur,anggur
angin,alogo
angin,logou
angin,pongit
angin,poting
angkat,ain
angkat,angkat
angkat,ayob
angkat,bangkit
angkat; ,bangkit
angkat;  naikkan,angkat
angkuh,anjang
angkuh,mapas
angkut,angkut
angsa,angsa
anjak,ranjak
anjing,anjing
anjing,asu
anjing,baliang
anjing,muha
anjur,tajuk
anjur,tingkal
antah,botah
antar,taruh
anting,ombing
anting-anting yang bulat dan tipis,ombing
Antr kelompok,marga
Antr kelompok kekerabatan yang eksogam dan unilinier secara patrilineal,marga
anus,hayang
anyam,baju
anyam,bayu
anyir,moyat
apa,aha
apa; apakah,aha
apalagi,bangkin
api,apui
api unggun,pinurun
api yang berbara banyak,dagos
apit,poldas
apung,mubang
apung,mumbang
arah,ubar
arahmatahariterbittimur,hataran
arang,agong
arang,arang
areal ladang,lonih
areal ladang yang telah dicangkul atau dikerjakan,lonih
aren,bagod
aren pertama,tukason
aren pertama dibuka untuk mengambil nira- nya,tukason
arit,sasabi
Ark nasib,okang
ark sebelah,hait
arti,arti
arus,aras
asah,hirah
asal,asal
asal (tentang daerah),asal
asal seseorang,par
asam,masam
asam,migar
asam durian,sibak
asam durian (buah durian masak yang diasamkan),sibak
asam gelugur,galugur
asamkan,pamigar 
asap,asap
asap,timus
asing,legan
asing,suhi
asing; aneh; tidak biasa; lain; beda tidak sama,legan
asma,hosong
asma; bengek,hosong
aspal,aspal
asuh,ardak
atap,tayup
atap dari bambu,butar
atap dari bambu butarbutar [butar butar] n tangkai butet [butEt] n panggilan untuk,butar
atap lalang,sirat
atas,atas
atas,babou
atas,datas
atau,atap
atur,atur
atur,batur
atur,ransap
aturan,aturan 
aturan,ranggi
aus,maos
aus; usang,maos
avokad,apokat
ayah,amang
ayak,piar
ayak,sege
ayam,dayok
ayam,jaguran
ayam,manuk
ayam betina yang baru menetaskan anak,manghurtuk 
ayam laga,jagur
ayam laga,tombu
ayam laga; ayam sabungan,jagur
ayam liar,bolajan
ayam merah,mirah
ayam yang berbulu,soridi
ayam yang berbulu bintik,soridi
ayo,eta
ayo,laita
ayo,ne
ayo,neta
ayo; mari,laita
ayun,ondei
ayun; berayun- ayun,ondei
azimat,rintabu
azimat ,rintabu
bab,bindu
babat pendek,pat
babi,babui
babi hutan,aili
babi hutan,baragas
babi hutan,sitabiar
babi hutan jantan,baragas
babi jantan,dalu
babu,jabolon
babu; budak,jabolon
baca,basa
bacang,halam
bacok,galgak
bacok; potong; ,galgak
badak,barak
badan,pamatang
badan (jasad manusia keseluruhan) pamohot [pamOhOt] v pergunakan,pamatang
bagai buluh,lupung
bagaimana,hua
bagaimana,naha
bagaimana,sonaha
bagaimana,sondia
bagi,bagi
bagi,parsaribu
bagian,Sidadolog
bagian,awanawan
bagian,bagian
bagian,hampit
bagian,jambar
bagian,jangan
bagian,paratas
bagian,partoruh
bagian,parujung
bagian,rangin
bagian (sisi),hampit
bagian batang enau yang keras (bagian luar),pangkuh
bagian dalam,ombut
bagian dalam batang pisang dan dapat dibuat menjadi sayur,hungkam
bagian dalam kayu,unok
bagian dalam kayu yang lembut,unok
bagian dalam pucuktumbuh-tumbuhan seperti kelapa aren dan pinang,ombut
bagian dari alat,sumbi
bagian dari alat tenun yang berfuingsi untuk menyamakan lebar sisi kain,sumbi
bagian dari marga Purba,Sidadolog
bagian ekor,imput
bagian ekor binatang,imput
bagian kemaluan,binsil
bagian kemaluan perempuan,binsil
bagian kepala anak kecil,awanawan
bagian marga,pak
bagian pisau yang dimasukkan pada hulunya (gagang),pasihon
bagian rumah untuk tamu terhormat,luluan
bagian rumah yang dijadikan tempat untuk tamu yang dihormati,luluan
bagus,handalan
bagus,jagar
bagus,jerget
bagus,jilei
bagus,jodah
bagus,tupa
bagus (baik sekali),tupa
bagus (tentang ayam),jerget
bagus;  baik,jagar
bagus; cantik,jilei
bahan masakan,lompahon 
bahu,abara
bahu,barabara
bahu,haledang
baik,bujur
baik,dear
baik,jalu
baik,sintong
baik,turei
baik (tentang letak),jalu
baik sekali; sempurna,torsa
bajak,tinggala
baju,baju
bakar,padar
bakar,surbui
bakar,tutung
"bakar (tentang hutan, rumah, dsb)",surbui
baki,idang
baku tembak,marsibodilan 
bakul,bantei
bakul,bius
bakul,gampil
bakul,tapongan
bakul berbentuk,ompon
bakul berbentuk bulat dan panjang,ompon
bakul besar,haduduk
balai,balei
balai,jambur
balam,kuhui
balam (semacam burung),kuhui
