Definition,Lemma,Pronunciation,Part of Speech,Sentence Examples and Related Forms
huruf pertama dalam aksara Simalungun (dari surat sapuluh siah),a,a,Noun,
 abu (hasil pembakaran),abab,abab,Noun,abab ni rih abu lalang;
jalan setapak (yang dilalui		oleh		manusia),abal,abal,Noun,mardalan ia hum abal dia berjalan dari jalan setapak; abalan n jalan setapak (yang dilalui	binatang	di	hutan); abalan ni rusa jalan yang biasa dilalui rusa
tempat garam yang terbuat dari bambu,abalabal,abal abal,Noun,
abang,abang,abaG,Noun,
bahu,abara,abara,Noun,
pangku,abing,abiG,Verb,abingan n pangkuan; abinghon v pangkukan; iabing v dipangku; iabinghon v dipangkukan;
harapan,abir,abir,Noun,abir ni uhur
ambil,abis,abis,Verb,
kain,abit,abit,Noun,buat  abit  ai!
abu,abu,abu,Noun,
abu dapur,abuan,abuan,Noun,adong abuan i tataring ada abu di dapur
tanggung,abul,abul,Adjective,abul ganjang ni hayu kayu itu tanggung panjangnya
berserak,abur,abur,Verb,omei ai abur padi itu berserak;
acar,acar,acar,Noun,
memilih bibit,adad,adad,Verb,adad omei bahen bonih tahun rah bibit padi dipilih untuk benih tahun ini
hambat,adang,adaG,Verb,adang mardalan ia menghambat jalan itu
waktu (yang sudah ditentukan),adangan,adaGan,Noun,lape das adangan ni belum sampai waktunya
 tepat pada waktunya,adar,adar,Adverb,adar ni halak mangan sudah waktunya orang- orang makan;
adat,adat,adat,Noun,lang iboto adat anak ai anak itu tidak tahu adat
moga-moga,adatua,adatua,Adverb,
itu,aday,aday,Pronoun,
pertimbangkan,adei,adey,Verb,adeihon parsoalan ai pertim- bangkan persoalan ini
ini,adon,adOn,Pronoun,
 ada,adong,adOG,Verb,adong do duitmu ase mamboli buku on apakah	ada	uangmu	untuk membeli buku itu;  adonghon v adakan; iadonghon v diadakan; mangadonghon		v mengadakan;
susu,adop,adOp,Noun,anggi inum adop adik minum susu
nama sejenis tumbuhan,adoyup,adOyup,Noun,adoyup i  roban bapa bapa menebang kayu adoyup
nira (pohon nyiru besar),aduri,adduri,Noun,
air,aek,aEk,Noun,
campur,aer,aer,Verb,aer kopi pangkon dadih campur kopi dengan susu
sadap,agad,agad,Verb,agad lobei bagod ai sadap aren itu
pikir,agad,agad,Verb,kira ;duga
alat menyadap,agadi,agadi,Noun,mambahen agadi si tukang bosi si tukang besi membuat alat untuk menyadap
kira-kira,agak,aga?,Adverb,agak pitu halak kira-kira ada tujuh orang;
 jantan,agam,agam,Noun,dayok agam ayam jantan 2  bibit: agam ni omei ini bibit padi; agam-agam	n persediaan: agam-agam panganon domma bois persediaan makanan telah habis
pikir,agan,agan,Noun,"agan lobe baru boli sabah ai pikir dahulu, baru beli sawah itu;"
biar age ma au laho mi biarlah aku yang pergi,age,agE ,Particle,
walaupun,agembit,agembit,Particle,agembit laho ia walaupu ia pergi
biar,agena,agEna,Particle,agena hata ni roha mu biar bagaimanapun itu kata hati mu
sekurang- kurangnya,agendo,agEndO,Adverb,agendo adong lima ribu rupei sekurang-kurangnya lima ribu rupiah
biarlah,ageni,agEni,Particle,ageni saotik biarlah sedikit
meskipun,agepe,agepE,Particle,"agepe roh udan, roh ia meskipun hujan turun, dia datang"
agaknya,agih,agih,Adverb,agih ni ia maila agaknya dia malu
tindih,agil,agil,Verb,
kehilangan,agoan,agOwan,Noun,anak ni dayoh agoan anak ayam kehilangan induknya
 arang,agong,agOG,Noun,mamboli agong inang i tiga ibu membeli arang di pasar;
terkenal,agoragon,agOragOn,Adjective,partiga-tiga na agoragon pedagang yang terkenal
campur,agu,agu,Verb,agu kopi pangkon gula campur kopi dengan gula
ah,ah,ah,Particle,"dakdanak ai mangkkatahon ah bani inangni anak itu mengatakan ah, pada ibunya"
apa; apakah,aha,aha,Pronoun,aha ma iboan ham hunjai? apakah yang kamu bawa dari sana?
 rasa,ahap,ahap,Noun,"hurang sodap ahap hu menurut saya, rasanya kurang enak;"
habiskan,ahar,ahar,Verb,ahar indahan ai! habiskan nasi itu
parah,ahir,ahir,Adjective,ahir naborit do danak parah penyakit anak itu
aku,ahu,ahu,Pronoun,ahu mamasa buku saya membaca buku;
itu,ai,ai,Pronoun,gogoh do lotusan dolok Sibayak ai letusan gunung Sibayak itu sangat dahsyat
tarik,aik,tari?,Verb,aik tali lombu ai! tarik tali lembu itu!
babi hutan,aili,ayli,Noun,aili mamangani jagul i juma babi hutan memakani jagung di kebun
 ialah,aima,ayma,Particle,pancasila aima falsafah ni bangso Indonesia pancasila ialah falsafah bangsa Indonesia ;
angkat,ain,ayn,Verb,ain  karosi ai
mengaduh,aing,ayG,Verb,ia aing ia mengaduh
 tunggang,ajak,aja?,Verb,"ajak mahuda in, ulang mabiar ho tunggangilah kuda itu, jangan takut;"
ajal,ajal,ajal,Noun,lape ajal marpantang matei belum ajal berpantang mati
kepunyaan,ajang,ajaG,Noun,ajang ni ise buku ai kepunyaan siapa buku ini?
nasehat,ajar,ajar,Noun,tangar ajar ni inang dengar nasihat ibu!;
ajar,ajar,ajar,Verb,
gatal,ajat,ajat,Adjective,tangan ni adek ajat halani batang buruk tangan adik gatal kena ulat bulu
racun,aji,aji,Noun,si ucok matei inum aji si Ucok mati minum racun
ilmu sihir (yang membuat mulut miring),ajibeot,ajibEyOt,Noun,
ilmu yang membuat tubuh gatal-gatal,ajiturtur,ajiturtur,Noun,
ajimat,ajimat,ajimat,Noun,datu mambahen ajimat datu membuat ajimat
jaja; jajakan,ajuk,aju?,Verb,ajukhon kueh ai jajakan kue itu
pikiran,akal,akal,Noun,magou akal hu akal pikiranku hilang
yakin,akim,akim,Adjective,au akim ia laho roh aku yakin dia akan datang
tujuan,alad,alad,Noun,huja alad mu
kalah,alah,alah,Verb,ia alah judi dia kalah bermain judi
usir,alai,alayi,Verb,
suara,alal,alal,Noun,alal adek jenges
tanda,alamat,alamat,Noun,aha alamat lombu ai apa tandanya lembu itu?
halaman,alamen,alamEn,Noun,si Ani manapu halaman si Ani menyapu halaman
tanggung,alang,alaG,Verb,ulang alang hanami horja: jangan tanggung kalau bekerja
tanggung (karena belum biasa mengerjakannya),alang,alaG,Adjective,ulang pala alang laho marsahap jangan tanggung untuk berbicara
karena,alani,alani,Particle,
sangkutan; gantungan,alapalap,alap alap,Noun,alapalap pakean gantungan baju
pukul,albag,albag,Verb,ulang albag huting ai jangan pukul kucing itu!
kelupas,albak,alba?,Verb,
jatuh tiba-tiba,albas,albas,Adverb,anggi ni albas adiknya jatuh tiba-tiba
telan,albug,albug,Verb,albug lobei aubat telan obatnya
letih; mangaldakkon v meletihkan,aldak,alda?,Adjective,pardalanan on mangaldakkon hami perjalanan ini meletihkan kami
tutup,aldom,aldOm,Verb,aludom ibah ai tutup pintu itu
hei,ale,alE,Particle,"ale hasonaman tengarma hami mandoding hei, kawan dengarlah kami menyanyi"
peluk,alehon,alEhOn,Verb,maralehon sidea halani marsihol mereka berpelukan karena rindu
seraut,alging,algiG,Noun,buat masa alging bulu i ambilah seraut bambo itu
sesuap,algup,algup,Noun,algup indahan sesuap nasi
kalung ( kalung berisikan obat untuk bayi laki- laki),aliali,aliali,Noun,
 berubah,alih,alih,Verb,domma alih uhurni telah berubah hatinya;
kepunyaan,alikan,alikan,Noun,alikan adek buku on buku ini kepunyaan adek
ikat pinggang yang terbuat dari tembaga,alilingei,aliliGEy,Noun,mamakei alilingei si abang abang memakai ikat pinggang
salin,alim,alim,Verb,surat on  i alim pakon dawat surat ini disalin dengan tinta;
simpan,alimi,alimi,Verb,i pamatang raya bahat i tubuhhon koperasi alimi pinjom di Pematang Raya banyak didirikan koperasi simpan pinjam;
perintah,aling,aliG,Noun,"anggo pulisi menangkap halak, memahei surot aling kalau polisi menangkap orang harus memakai surat perintah"
nama sejenis pohon,alingit,aliGit,Noun,tanom lobei alingit ai ase tubuh tanam dulu pohon alingit itu supaya tumbuh
alir,alir,aliri,Verb,
 raut,alis,alis,Verb,alis lobei pensel ai ase runsing ujungni raut pensil itu supaya runcing ujungnya;
lilit; gulung,alit,alit,Noun,alit tali on
buang,allokkon,allOkkOn,Verb,allokkon hayu ai buang kayu itu;
ya	(menyatakan setuju),alo,alO,Particle,
lawan,alo,alO,Noun,mangalo v melawan; maralo v berlawanan; sipangalo n pelawan;
sambut,aloalo,alOalO,Verb,ialoalo v disambut; mangaloalo v menyambut
batas,alog,alOg,Noun,on ma alog ni
angin,alogo,alOgO,Noun,
keinginan tidak sampai,alokon,alOkOn,Noun,ulang tangis ma ho halani alokon kau jangan menangis karena keingin yang tidak sampai
suara,aloling,alOliG,Noun,aloling ni tartenggar hanjon suaranya terdengar dari sini
ambil,alop,alOp,Verb,salah alop
potong,alpak,alpa?,Verb,alpak hayu on ptong kayu ini
muka,alub,alub,Noun,mardaraoh alub si Ani muka si Ani berdarah
keinginan tidak sampai,alug,alug,Noun,
menjilat bibir,aluk,alu?,Verb,tingki aluk ia huidah aku melihatnya ketika menjilat bibir
nama penyakit,alumalum,alumalum,Noun,alum-alum boni tonton sakit alumalum di dada;
nama tumbuhan untuk obat,alumalum,alumalum,Noun,dong alum-alum i juma nima? adakah tumbuhan alum-alum di ladang kalian?
pihak,alur,alur,Noun,alur ni lang adong nasapanriahan tidak ada yang sehati dipihaknya
 halus,alus,alus,Adjective,sira na alus garam yang halus;
urut,alut,alut,Verb,
tikar,amak,ama?,Noun,amparhon amak in bentangkan tikar itu; maramak v bertikar
ayah,amang,amaG,Noun,amang nonoi	hanami	niombahmon ayah lihat kami anak-anakmu; maramang v berayah;
sedia,ambang,abbaG,Noun,ambang hepeng mu sediakan uangmu ambarita  [abbarita]  n  jari manis:
buah bacang,ambasang,abbasaG,Noun,magatol ho na gotahni ambasang gatal kena getah buah bacang
hambat,ambat,abbat,Verb,"ulang ambat ahu laho podas hu misir jangan hambat aku, aku mau cepat pergi"
 rendam,ambei,abbEy,Verb,ambei boras on rendam beras ini;
panggilan untuk anak lelaki yang sebaya atau lebih muda,ambia,abbia,Pronoun,"ombus lobei apui ai, ambia hembus  dulu api itu, polan"
iba,ambil,abbil,Adjective,ambil uhurhu mangindah inang mahorja iba hatiku melihat ibu bekerja
khotbah,ambilan,abbilan,Noun,ambilan sadari on kotbah hari ini
umbai (seperti umbai pada hiou),ambirambir,abbir abbir,Noun,
sejenis ulat,ambirang,abbiraG,Noun,ambirang mamangani pusukni lompah ulat ambirang memakani pucuk sayur
habis,ambis,abbis,Verb,"ambis haganupan, aha petang na tading semuanya habis tidak ada yang tertinggal; pangambis	n	penghabisan (paling ujung)"
"jika, kiranya",ambit,abbit,Particle,ambit ma namin jenges ahu  jika saja aku cantik
hilang,ambok,abbO?,Verb,ambok duithu i tongoh dalan hilang uangku di tengah jalan
hujan batu,ambolas,abbOlas,Noun,halani ambolas maseda baganup suan suanan karena hujan batu rusak semua tanaman
pantat,ambom,abbOm,Noun,ambom ni baggal pantatnya besar
saudara perempuan (kakak dan adik perempuan ayah),amboru,abbOru,Noun,amboru na jenges bibi yang cantik
pepaya,ambotik,abbOti?,Noun,"dua kibul ambotik dua buah pepaya; songon parbuahni ambotik seperti pepaya berbuah, pb menambah kesusahan orang lain"
saudara perempuan (dari pihak ayah),ambul,abbul,Noun,ambul lang adong be saudara perempuan ayah tidak ada lagi
bulu,ambulu,abbulu,Noun,ambulu ni tanganni alus-alus bulu di tangannya halus-halus; mangambului	v	mencabuti bulu (ayam dsb) yg telah dipotong: eda mangambului dayok kakak mencabuti bulu ayam;
buang,ambung,ambuG,Verb,ambung boras	i	baen	adek	beras terbuang oleh adek; ambunghon v buangkan; iambunghon v dibuangkan; mangambunghon v melem- parkan;
 jatuh,ambur,ambur,Verb,2
saudara laki- laki ayah,amburu,abburu,Noun,amburu ai loho saudara laki-laki ayah sudah pergi
kupas (dengan tipis),amis,amis,Verb,amis anas ai kupas tipis nenas itu
 dan,ampa,appa,Particle,haduan  ahu ampa ia misir hu Jakarta aku dan dia pergi ke Jakarta lusa;
juga,ampa,appa,Adverb,
kain lampin; kain bedung,ampan,appan,Noun,domma iambang ho ampan ni niombahmu? sudah kau sediakan kain bedung anakmu?
kulit kambing,ampangampangan,appaG appaGan,Noun,ampang-ampangan      bai    do
  berserak,ampar,appar,Verb,ampar haganup ugasta barang- barang kita berserak semua;
tikar,amparan,apparan,Noun,buat hujon amparan ai bawa tikar itu kesini
sejenis kayu,ampiarawas,appirawas,Noun,ampirawas i baen ompung tungkoni kayu ampirawas dibuat tongkat
sejenis kayu,ampipira,ampipira,Noun,ampipira ibaen soban kayu ampira dibuat kayu bakar
hampir,ampir,appir,Adverb,"ampir ahu madabuh aku hampir jatuh 2ampir    [appir],    mangampir  a"
tepi,ampis,ampis,Noun,ampis ni lombang tepi jurang
sepak,ampit,appit,Verb,ampit bola ai das hu atas sepak bola itu sampai ke atas
sambung,ampod,appOd,Verb,ampodhon ni tali hail sambungkan tali pancing ini
tikus bambu,ampodui,appOduy,Noun,bahat ampodui i juma namai banyak tikus bambu diladang kami
bangsa,ampoldang,appOldaG,Noun,ampoldang Jepang lopak-lopak haganupan bangsa jepang semua berkulit putih
putus angan- angan,ampong,appOG,Verb,ampog mangidah pertahou mu nahurong jeges putus harapanku melihat tingkahmu yang tidak baik
menuang air sedikit-sedikit,ampor,appOr,Verb,ampor hutangan hu ase hususi tuangkan air ketanganku sedidkit-sedikit biar ku cuci
,ampordang,appOdaG,Noun,
pangku,ampu,appu,Verb,ampu ni ombah on pangku adikmu; ampuhon v pangkukan; iampuhon v dipangkukan; mangampu v memangku; pangampu v cara memangku parampu n alat memangku
menghabiskan,ampud,appud,Verb,on ma ampud ni inilah yang penghabisan
sejenis  burung,ampuk,appu?,Noun,anggo do diampuk pangan ho pernahkah kamu makan burung ampuk
sapih,ampul,appul,Verb,baru onam umurni domma ampul baru enam bulan umurnya sudah disapih;
ampun,ampun,ampun,Noun,"ampun lang manangko be ahu ampun bu, aku tidak mencuri lagi"
anak laki-laki,anak,ana?,Noun,anak ni sada do hansa anak laki- lakinya cuma satu
nenas,anas,anas,Noun,gok do anas i huta nami banyak nenas di kampung kami;
pantat beruk yang gundul,andal,addal,Noun,andal ni bodat maos seng marbulu on pantat beruk itu sudah hilang bulunya
sejenis tumbuhan,andalotung,addalOtuG,Noun,itondaiho do andalotung na songon on tahukah kamu tumbuhan andalotung?
alu,andalu,addalu,Noun,andalu ai ibahen humbani hayu alu itu dibuat dari kayu
tangga,andar,addar,Noun,andar ni jabu tangga rumah;
miring,andar,addar,Adjective,bonani mangga andar halani masursur tanohni pohon mangga itu miring karena tanahnya longsor;
sejenis kayu,andehit,addehit,Noun,andehit buei ni isuan kayu andehit banyak ditanam
kapan,andigan,addigan,Pronoun,andigan	do	ahu	marhasil kapankah aku akan berhasil; atap andigan kapan-kapan; age andigan kapan saja
sejenis kayu,andilou,addilOw,Noun,andilou iboan inang hu huta kayu andilou dibawa ibu ke kampung
itulah,andin,addin,Pronoun,andin ma imang hu itu suamiku
sejenis serangga penyengat,andodot,adOdOt,Noun,bihong naidoit andodot ai bengkak digigit andodot
mudah- mudahan,andohar,addOhar,Adverb,andohar ma boi hita mandapot gogoh mudah- mudahan kita mendapatkan kekuatan
