Indonesia,Simalungun,Pronounciation,Part of Speech,Sentence Examples & Related Forms
abai,tios,tiyOs,Verb,
abang,abang,abaG,Noun,
abang,nasikaha,,,
abang dari suami,nasikaha,nasikaha,Pronoun,ipar
abangdariistri,lawei,lawey,Pronoun,3 anak dari kakak ayah; 4 ipar
abu,abab,,,
abu,abu,abu,Noun,
abu,silabu,,,
abu,sirabun,sirabun,Noun,
abu dapur,abuan,abuan,Noun,adong abuan i tataring ada abu di dapur
abu(hasilpembakaran),abab,abab,Noun,abab ni rih abu lalang;
abu-abu,silabu,silabu,Adjective,dayokni lang piga silabu ayamnya tidak banyak yang abu-abu
acak-acakan,magurbang,,,
acar,acar,acar,Noun,
Aceh,asih,asih,Noun,halak asih
acuh,eas,Eas,Adjective,eas ho bani
ada,adong,adOG,Verb,"adong do duitmu ase mamboli buku on apakah	ada	uangmu	untuk membeli buku itu;  ; ; mangadonghon		v mengadakan;"
ada,aong,aOG,Verb,aong apei i bagas ada tikar di rumahku
ada,nadong,nadOG,Verb,maruah nadong orang yang berada
ada,targugun,,Noun,
ada kalanya: ongga do ia tartangkap seng dong ia berbuat adakalanya orang yang tidak bersalah juga dihukum,ongga,OGga,Adverb,
ada tumpukan,targugun ,,,
adakan,adonghon,,Verb,
adakan,adonghon ,,,
adat,adat,adat,Noun,lang iboto adat anak ai anak itu tidak tahu adat
adat,hombar,,,
adik,anggi,aGgi,Noun,anggi mambuat tolur ni dayok adik mengambil telur ayam;  adik;  ipar;
adik,botou,bOtO,Raya,botouhu roh hujon adikku datang ke sini
adik,nasianggi,,Noun,
aduh,lo,,,
aduk,gaor,gaOr,Adjective,
aduk,goar,gOar,Verb,goar tepung in bahen kue aduk tepung ini buat kue
aduk,ugar,ugar,Verb,ugar lowoh ai!
agak,antak,,,
agak,tarmelhat,,Adjective,
agak,tarparah,,Adjective,
agak,tarpinsur,,Adjective,
agak,tarpintor,,Adjective,
agak,tarrangkah,,Adjective,
agak,tarrenges,,Adjective,
agak,tartorang,,Adjective,
agak,tartoras,,Adjective,
agak banyak,undong,uddOG,Adjective,undong do halak na roh marhorja agak banyak orang yang datang bekerja
agak bau,tarbau ,,,
agak cepat,magirah ,,,
agak demam,malab,malab,Adverb,akkulakku malab hona udan badan saya agak demam kena hujan
agak jauh,tardaoh ,,,
agak kelihatan,ebas,Ebas,Adjective,
agak kuat,magogoh ,,,
agak mentah,mongkol,mOkkOl,Adjective,indahan ai mongkol nasi itu agak mentah
agak penuh,targok,,,
agak sempit,tarsompit,,,
agak sempit,tarsosot ,,,
agak susah,tarngalut,tarGalut,Adjective,goluhni tarngalut hidupnya agak susah
agak;   kira-kira,antak,atta?,Noun,antak songon nai ma kira-kira begitulah
